,VaR1,VaR5,0,e1,e5
2013-03-01,0.92541781096418874,0.98735058989000035,1.00187188163,False,False
2013-03-04,0.91072359407637593,0.95999285779272447,1.0045450428,False,False
2013-03-05,0.9144521822087186,0.96227191809213386,1.00868514317,False,False
2013-03-06,0.90280688548360977,0.96313980789208398,1.00158151277,False,False
2013-03-07,0.90527993685906216,0.96867275633917338,1.00131816592,False,False
2013-03-08,0.90227017301944945,0.97158051918108135,1.00524258134,False,False
2013-03-11,0.89115655314954767,0.96937986902568096,1.00232505177,False,False
2013-03-12,0.89784660129844873,0.96893096273230028,0.998377350986,False,False
2013-03-13,0.88348051759767054,0.96817666647620426,1.0010954373,False,False
2013-03-14,0.87607494834667998,0.97103176666273938,1.00613418358,False,False
2013-03-15,0.84227834150357817,0.96958905897594894,0.998733031315,False,False
2013-03-18,0.84600436996488637,0.97031649218409299,0.994969962496,False,False
2013-03-19,0.85545641579398335,0.97447613528244326,0.997521126519,False,False
2013-03-20,0.8567332306279718,0.9730471234181548,1.0067687744,False,False
2013-03-21,0.85583566429469771,0.96522359644155764,0.992768681262,False,False
2013-03-22,0.85022449671418565,0.96398581030546271,1.00562402353,False,False
2013-03-25,0.81422141445082263,0.94087433424238298,0.997142158947,False,False
2013-03-26,0.80707069584446134,0.94486152040897997,1.00735781711,False,False
2013-03-27,0.82100898656647947,0.94618677037572141,1.00000093529,False,False
2013-03-28,0.8204473110249596,0.94066615085126493,1.00484131777,False,False
2013-04-01,0.75378943369483775,0.98449399650541691,0.995521575862,False,False
2013-04-02,0.75913561203084368,0.98523455471787191,1.00235655039,False,False
2013-04-03,0.74830906623106708,0.98383772028297345,0.990459219181,False,False
2013-04-04,0.74748467816044395,0.98452792098722652,1.00592836945,False,False
2013-04-05,0.80948076958315596,0.98185614269830523,0.99830859807,False,False
2013-04-08,0.65232337671860263,0.97995777618124758,1.00731812235,False,False
2013-04-09,0.66110063927571994,0.98062407264753149,1.00288160472,False,False
2013-04-10,0.66519583208538791,0.98037380227769522,1.01146228841,False,False
2013-04-11,0.64764279868625396,0.98009177531785741,1.00418121955,False,False
2013-04-12,0.6164540224553483,0.98171066164656295,0.997793984856,False,False
2013-04-15,0.4822321006570181,0.97901156777926346,0.974883893532,False,True
2013-04-16,0.5412777415755492,0.97868100312488793,1.0144104053,False,False
2013-04-17,0.47055935478810273,0.97872617092601788,0.98615241141,False,False
2013-04-18,0.30940588889368681,0.97702579169621273,0.996773425048,False,False
2013-04-19,0.25956159389957972,0.9760177611024633,1.01066131395,False,False
2013-04-22,0.98715545773906632,0.99148955830852759,1.00399517515,False,False
2013-04-23,0.98807978856820433,0.99195498943345739,1.00954184305,False,False
2013-04-24,0.98747446311281761,0.9915004341403425,1.0010700446,False,False
2013-04-25,0.98739560095311341,0.99158565522590258,1.00502665277,False,False
2013-04-26,0.98674272959319642,0.99102045493104451,0.996793341187,False,False
