,VaR1,VaR5,0,e1,e5
2013-03-01,0.98786181878349089,0.99148462921579217,1.00187188163,False,False
2013-03-04,0.95588583081375667,0.98860589530413101,1.0045450428,False,False
2013-03-05,0.95607685166862511,0.98863751877585071,1.00868514317,False,False
2013-03-06,0.95562480950715678,0.98863460298521777,1.00158151277,False,False
2013-03-07,0.95639313346142008,0.98851278760883166,1.00131816592,False,False
2013-03-08,0.95601127895264215,0.98873409334193274,1.00524258134,False,False
2013-03-11,0.95517387830761613,0.98791488006948791,1.00232505177,False,False
2013-03-12,0.9563499954603033,0.98854040274932409,0.998377350986,False,False
2013-03-13,0.95539949395183588,0.98883045318046692,1.0010954373,False,False
2013-03-14,0.95519130815232789,0.98852176756010213,1.00613418358,False,False
2013-03-15,0.9544305260071454,0.98838236878782937,0.998733031315,False,False
2013-03-18,0.95495226431824309,0.98864068505312475,0.994969962496,False,False
2013-03-19,0.95592889331735575,0.9883780412699914,0.997521126519,False,False
2013-03-20,0.95596518322599799,0.98823451991658939,1.0067687744,False,False
2013-03-21,0.95626531433524242,0.98814521199700411,0.992768681262,False,False
2013-03-22,0.95465157723214999,0.9880479223739379,1.00562402353,False,False
2013-03-25,0.95494765352393773,0.9877403336996271,0.997142158947,False,False
2013-03-26,0.95568645847340883,0.98805814491355237,1.00735781711,False,False
2013-03-27,0.95543290581170459,0.98792375179240932,1.00000093529,False,False
2013-03-28,0.95488312229125338,0.98789466186556352,1.00484131777,False,False
2013-04-01,0.95590643136109676,0.98793276262282292,0.995521575862,False,False
2013-04-02,0.95583333658269032,0.98831614164090498,1.00235655039,False,False
2013-04-03,0.95479287387444356,0.98751472034533716,0.990459219181,False,False
2013-04-04,0.95551296239102479,0.98783288779583989,1.00592836945,False,False
2013-04-05,0.95593386395469837,0.98766557392886534,0.99830859807,False,False
2013-04-08,0.95475989204451894,0.9859863327976599,1.00731812235,False,False
2013-04-09,0.95558818719552352,0.98649972473159087,1.00288160472,False,False
2013-04-10,0.95436975914191335,0.98625611660166002,1.01146228841,False,False
2013-04-11,0.95586890316327344,0.98670638201102734,1.00418121955,False,False
2013-04-12,0.95609538034493602,0.98688234946576203,0.997793984856,False,False
2013-04-15,0.95582899525149456,0.98642372975636894,0.974883893532,False,True
2013-04-16,0.95590848632221426,0.98652489756909423,1.0144104053,False,False
2013-04-17,0.95547232359164114,0.98674851809937214,0.98615241141,False,True
2013-04-18,0.95599374607521836,0.9866651526754765,0.996773425048,False,False
2013-04-19,0.95735286936264863,0.98754909307819416,1.01066131395,False,False
2013-04-22,0.9851403325907685,0.99005013824638388,1.00399517515,False,False
2013-04-23,0.9847629377876006,0.99012532317038382,1.00954184305,False,False
2013-04-24,0.98541937859603934,0.99017823536169502,1.0010700446,False,False
2013-04-25,0.98544144605322836,0.99027541814240938,1.00502665277,False,False
2013-04-26,0.98504427676709982,0.99005615906119115,0.996793341187,False,False
2013-04-29,0.98513148193038891,0.99001994353841094,1.0074910044,False,False
2013-04-30,0.98480963079768002,0.98985011734229,1.0037817835,False,False
2013-05-01,0.98448296367856702,0.99011913803915763,0.988444842001,False,True
2013-05-02,0.98509431162370054,0.98969072131810576,1.00839652859,False,False
2013-05-03,0.98489634555560479,0.98987074135806952,1.00948585787,False,False
2013-05-06,0.98443204473721846,0.98946421845429433,1.00106085764,False,False
2013-05-07,0.98498210461481517,0.98981325953873123,1.00630843043,False,False
2013-05-08,0.98487277237783699,0.98989124087466906,1.00393422455,False,False
2013-05-09,0.98516458152040864,0.99003558746898468,0.995245706639,False,False
2013-05-10,0.98569068836408102,0.99030724889042687,1.00446035937,False,False
2013-05-13,0.98521562732119605,0.99014670509242031,0.999038101892,False,False
2013-05-14,0.9858033500833423,0.99017215544762938,1.00974055106,False,False
2013-05-15,0.98536876065002632,0.9902535043094467,1.00536860461,False,False
2013-05-16,0.98621695775877316,0.99057988488657389,0.994754650923,False,False
2013-05-17,0.98547124761091176,0.99019048044343205,1.00973898394,False,False
2013-05-20,0.98575284865724033,0.99011468822762616,0.999698786493,False,False
2013-05-21,0.98585769088875586,0.99029839530302455,1.00187503413,False,False
2013-05-22,0.98581849322162574,0.99015111060605809,0.987780990298,False,True
2013-05-23,0.98483081394254879,0.98978640088080971,0.996746099362,False,False
2013-05-24,0.98396733878426745,0.98908287225696601,0.998189939674,False,False
2013-05-28,0.98502371616768614,0.9895963018175683,1.00346280673,False,False
2013-05-29,0.98353179353948572,0.98902165821110277,0.989991060075,False,False
2013-05-30,0.98337811367817607,0.98868574565537237,1.00250922605,False,False
2013-05-31,0.98295788493823344,0.98843247014341729,0.987165983831,False,True
2013-06-03,0.98266984849620342,0.98836387282620641,1.00476808468,False,False
2013-06-04,0.98272278142373026,0.98863257279317707,0.994363612682,False,False
2013-06-05,0.98295073365318808,0.98855123437667691,0.987061964882,False,True
2013-06-06,0.98268829785957734,0.98843687729525376,1.01059487379,False,False
2013-06-07,0.98196437344560239,0.98823095939214178,1.00934724573,False,False
2013-06-10,0.9823836200110122,0.98825688908909848,0.999733753465,False,False
2013-06-11,0.982866711898149,0.98843723226042912,0.989408141819,False,False
2013-06-12,0.98211760074222521,0.98782670739072731,0.991846440462,False,False
2013-06-13,0.98192716911750844,0.9879098954648049,1.0165434685,False,False
2013-06-14,0.98193824023930287,0.98777941325261209,0.996116520886,False,False
2013-06-17,0.98167056891431093,0.98779857292012929,1.00558586429,False,False
2013-06-18,0.98074442683248952,0.98756045956192051,1.00776084595,False,False
2013-06-19,0.98114044711419768,0.98757723793585639,0.983601944886,False,True
